boy_id,band_id,name,dob,hair_color,hair_frosted,hair_length,hair_style,eyes,facial_hair,accessories,top_style,bottom_style,height,instrument
225,33,Patrick Waite,5/16/1968,black,no,medium,fade,brown,,,tank top,jeans,,bass
226,45,Angel Lopez,,black,no,short,crew,brown,"beard, mustache, soul patch",sunglasses,"other jacket, short-sleeve t-shirt",dress pants,,
227,45,Pedro Quiles,,black,no,short,slick,brown,"beard, mustache, soul patch",,short-sleeve t-shirt,dress pants,,
228,45,Javier Montes,,black,no,short,slick,brown,five o'clock shadow,,vest,dress pants,,
229,45,George Montes,,black,yes,medium,spiked,brown,goatee,,"other jacket, short-sleeve t-shirt",dress pants,,
230,51,Max George,09/06/1988,brown,no,short,shaved,Gray,five o'clock shadow,,short-sleeve t-shirt,jeans,,
231,51,Siva Michael Kaneswaran,11/16/1988,black,no,medium,spiked,brown,,,long-sleeve button down,dress pants,,
232,51,Jay McGuiness,7/24/1990,brown,no,medium,curly,blue,,,short-sleeve button down,jeans,,
233,51,Tom Parker,08/04/1988,black,no,short,spiked,brown,,,polo shirt,dress pants,70,
234,51,Nathan Sykes,4/18/1993,brown,no,short,swept,blue,,necklace,short-sleeve button down,dress pants,69,
